Gossip Runtime,Num. of Events,Num. of Consensus Events
2055.806,39373,39362
2059.129,39435,39421
2062.262,39499,39484
2065.733,39556,39545
2069.066,39618,39603
2072.409,39673,39659
2075.723,39735,39716
2079.463,39794,39778
2082.569,39853,39840
2085.599,39910,39881
2088.833,39960,39937
2092.009,40030,40011
2095.172,40085,40070
2098.336,40145,40133
2101.579,40205,40188
2104.649,40260,40240
2107.722,40324,40306
2110.989,40384,40371
2113.942,40441,40433
